instance,parameter_set,generation,mean_best_so_far,std_best_so_far
la01,lower_mutation,126,666.2666666666667,1.112106833535071
la01,lower_mutation,127,666.2666666666667,1.112106833535071
la01,lower_mutation,128,666.2666666666667,1.112106833535071
la01,lower_mutation,129,666.2666666666667,1.112106833535071
la01,lower_mutation,130,666.2666666666667,1.112106833535071
la01,lower_mutation,131,666.2666666666667,1.112106833535071
la01,lower_mutation,132,666.2666666666667,1.112106833535071
la01,lower_mutation,133,666.2666666666667,1.112106833535071
la01,lower_mutation,134,666.2666666666667,1.112106833535071
la01,lower_mutation,135,666.2666666666667,1.112106833535071
la01,lower_mutation,136,666.2666666666667,1.112106833535071
la01,lower_mutation,137,666.1,0.30512857662936466
la01,lower_mutation,138,666.1,0.30512857662936466
la01,lower_mutation,139,666.1,0.30512857662936466
la01,lower_mutation,140,666.1,0.30512857662936466
la01,lower_mutation,141,666.1,0.30512857662936466
la01,lower_mutation,142,666.1,0.30512857662936466
la01,lower_mutation,143,666.1,0.30512857662936466
la01,lower_mutation,144,666.1,0.30512857662936466
la01,lower_mutation,145,666.1,0.30512857662936466
la01,lower_mutation,146,666.1,0.30512857662936466
la01,lower_mutation,147,666.1,0.30512857662936466
la01,lower_mutation,148,666.1,0.30512857662936466
la01,lower_mutation,149,666.1,0.30512857662936466
la01,lower_mutation,150,666.1,0.30512857662936466
la02,reference,0,767.1333333333333,16.12394521187052
la02,reference,1,754.5,14.209637331876147
la02,reference,2,750.7,14.529755438528491
la02,reference,3,745.2666666666667,13.77637491313032
la02,reference,4,741.5666666666667,13.830708794097518
la02,reference,5,738.7333333333333,12.20495471274801
la02,reference,6,735.0333333333333,13.87004545484766
la02,reference,7,731.3333333333334,11.957780134587123
la02,reference,8,728.9666666666667,10.714100709951746
la02,reference,9,725.4,10.896377126492943
la02,reference,10,724.9,10.964991312479851
la02,reference,11,723.0333333333333,13.438193981010409
la02,reference,12,718.5666666666667,15.002720059889217
la02,reference,13,713.4,14.468991814840834
la02,reference,14,709.0666666666667,13.6859689874863
la02,reference,15,708.2,14.27657835950801
la02,reference,16,706.9666666666667,14.351458734779959
la02,reference,17,706.6,14.411681085985006
la02,reference,18,704.7666666666667,13.67777793339994
la02,reference,19,703.3666666666667,14.468713770094409
la02,reference,20,702.5333333333333,14.148798738660693
la02,reference,21,702.3666666666667,14.24534608415925
la02,reference,22,700.4,14.670166771494054
la02,reference,23,699.5,13.999384222911008
la02,reference,24,696.9333333333333,13.920794005627927
la02,reference,25,696.4,13.664956439109442
la02,reference,26,695.6,13.984227568573646
la02,reference,27,694.6333333333333,13.991335578291581
la02,reference,28,693.8,13.973867235566587
la02,reference,29,692.3,14.232430184810928
la02,reference,30,691.3666666666667,14.32981779929248
la02,reference,31,690.3,14.239696819709378
la02,reference,32,690.1333333333333,14.21202340257721
la02,reference,33,687.9666666666667,14.250186528321446
la02,reference,34,687.2666666666667,14.774006374975478
la02,reference,35,686.7666666666667,14.072921744853895
la02,reference,36,686.6333333333333,13.932060107915653
la02,reference,37,685.4,13.260259528328271
la02,reference,38,685,13.375221557945794
la02,reference,39,684.4333333333333,12.759535537253571
la02,reference,40,684.3,12.913905897025941
la02,reference,41,684.1666666666666,13.086142534634934
la02,reference,42,684.1333333333333,13.10102215894605
la02,reference,43,683.6,12.986996148667991
la02,reference,44,682.0666666666667,12.83565436541923
